Serial number;Datum UTC;Datum local time;Value;Unit;Type
VME London Tower Final Price;04/12/2023 10:00;04/12/2023 11:00;3248,32;kWh;electricity
VME London Tower Final Price;04/12/2023 11:00;04/12/2023 12:00;3250,64;kWh;electricity
VME London Tower Final Price;04/12/2023 12:00;04/12/2023 13:00;3252,71;kWh;electricity
VME London Tower Final Price;04/12/2023 13:00;04/12/2023 14:00;3254,52;kWh;electricity
VME London Tower Final Price;04/12/2023 14:00;04/12/2023 15:00;3256,4;kWh;electricity
VME London Tower Final Price;04/12/2023 15:00;04/12/2023 16:00;3258,25;kWh;electricity
VME London Tower Final Price;04/12/2023 16:00;04/12/2023 17:00;3260,09;kWh;electricity
VME London Tower Final Price;04/12/2023 17:00;04/12/2023 18:00;3263,14;kWh;electricity
VME London Tower Final Price;04/12/2023 18:00;04/12/2023 19:00;3266,33;kWh;electricity
VME London Tower Final Price;04/12/2023 19:00;04/12/2023 20:00;3268,36;kWh;electricity
VME London Tower Final Price;04/12/2023 20:00;04/12/2023 21:00;3270,88;kWh;electricity
VME London Tower Final Price;04/12/2023 21:00;04/12/2023 22:00;3273,66;kWh;electricity
VME London Tower Final Price;04/12/2023 22:00;04/12/2023 23:00;3275,29;kWh;electricity
VME London Tower Final Price;04/12/2023 23:00;05/12/2023 00:00;3276,5;kWh;electricity
VME London Tower Final Price;05/12/2023 00:00;05/12/2023 01:00;3277,57;kWh;electricity
VME London Tower Final Price;05/12/2023 01:00;05/12/2023 02:00;3278,66;kWh;electricity
VME London Tower Final Price;05/12/2023 02:00;05/12/2023 03:00;3279,71;kWh;electricity
VME London Tower Final Price;05/12/2023 03:00;05/12/2023 04:00;3280,74;kWh;electricity
VME London Tower Final Price;05/12/2023 04:00;05/12/2023 05:00;3281,84;kWh;electricity
VME London Tower Final Price;05/12/2023 05:00;05/12/2023 06:00;3282,98;kWh;electricity
VME London Tower Final Price;05/12/2023 06:00;05/12/2023 07:00;3284,37;kWh;electricity
VME London Tower Final Price;05/12/2023 07:00;05/12/2023 08:00;3286,07;kWh;electricity
VME London Tower Final Price;05/12/2023 08:00;05/12/2023 09:00;3289,78;kWh;electricity
VME London Tower Final Price;05/12/2023 09:00;05/12/2023 10:00;3293,62;kWh;electricity
VME London Tower Final Price;05/12/2023 10:00;05/12/2023 11:00;3297,25;kWh;electricity
VME London Tower Final Price;05/12/2023 11:00;05/12/2023 12:00;3300,82;kWh;electricity
VME London Tower Final Price;05/12/2023 12:00;05/12/2023 13:00;3304,21;kWh;electricity
VME London Tower Final Price;05/12/2023 13:00;05/12/2023 14:00;3306,03;kWh;electricity
